Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate,Pais
1,Beautiful Things,Benson Boone,100,180304,2024-01-18,Global
2,Beautiful Things,Benson Boone,100,180304,2024-01-18,USA
4,greedy,Tate McRae,99,131872,2023-09-15,Global
6,Cruel Summer,Taylor Swift,99,178426,2019-08-23,Global
1,La Diabla,Xavi,98,172264,2023-11-30,Mexico
8,La Diabla,Xavi,98,172264,2023-11-30,Global
10,My Love Mine All Mine,Mitski,98,137773,2023-09-15,Global
3,La Diabla,Xavi,98,172264,2023-11-30,Colombia
4,redrum,21 Savage,97,270697,2024-01-12,USA
5,Stick Season,Noah Kahan,97,182346,2022-10-14,USA
9,Lovin On Me,Jack Harlow,97,138411,2023-11-10,USA
5,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,España
1,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,Colombia
8,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,Argentina
2,La Víctima,Xavi,95,156345,2023-08-17,Mexico
6,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",95,260370,2024-01-12,Mexico
2,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",95,264324,2024-02-09,Global
1,CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",95,264324,2024-02-09,USA
2,PERRO NEGRO,"Bad Bunny, Feid",95,162767,2023-10-13,Colombia
10,La Víctima,Xavi,95,156345,2023-08-17,Colombia
7,Lose Control,Teddy Swims,94,210688,2023-09-15,Global
6,I Remember Everything (feat. Kacey Musgraves),"Zach Bryan, Kacey Musgraves",94,227195,2023-08-25,USA
10,Lose Control,Teddy Swims,94,210688,2023-09-15,USA
3,LA FALDA,Myke Towers,94,174229,2023-09-18,España
8,LA FALDA,Myke Towers,94,174229,2023-09-18,Colombia
5,HARLEY QUINN,"Fuerza Regida, Marshmello",93,143327,2023-10-20,Mexico
7,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",93,191466,2023-08-30,Mexico
7,QLONA,"KAROL G, Peso Pluma",93,172797,2023-08-10,Colombia
9,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",93,187172,2024-01-10,Argentina
3,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07,Mexico
5,End of Beginning,Djo,92,159245,2022-09-16,Global
7,End of Beginning,Djo,92,159245,2022-09-16,USA
10,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02,Mexico
6,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02,España
7,Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",91,243898,2024-01-05,España
2,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02,Argentina
3,Una Foto Remix (feat. Emilia),"Mesita, Nicki Nicole, Tiago PZK, Emilia",91,243898,2024-01-05,Argentina
9,AMARGURA,KAROL G,90,170480,2023-02-24,Colombia
5,Según Quién,"Maluma, Carin Leon",89,142334,2023-08-25,Colombia
4,Regalo De Dios,Julión Álvarez y su Norteño Banda,88,185933,2023-11-17,Mexico
8,Apaga El Cel,"Calle 24, Chino Pacas",88,170832,2023-12-22,Mexico
9,ROCKSTAR,Junior H,88,168677,2023-10-05,Mexico
8,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",88,219201,2020-07-23,España
9,M.A.I,Milo j,88,184027,2023-11-30,España
3,TEXAS HOLD 'EM,Beyoncé,87,235636,2024-02-10,Global
3,TEXAS HOLD 'EM,Beyoncé,87,235636,2024-02-10,USA
8,Whatever She Wants,Bryson Tiller,86,161342,2024-02-13,USA
4,SI SABE FERXXO,"Blessd, Feid",86,152500,2024-01-25,Colombia
9,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",85,244684,2024-02-09,Global
4,Manos Rotas,"DELLAFUENTE, Morad",84,168594,2023-11-16,España
10,La_Original.mp3,"Emilia, TINI",84,140625,2023-11-03,Argentina
10,Casanova,"Soolking, Lola Indigo, Rvfv",82,243806,2023-12-07,España
6,CUAL ES ESA,"Feid, Pirlo",82,172506,2023-12-01,Colombia
4,Piel,"Tiago PZK, Ke Personajes",82,141079,2024-02-01,Argentina
5,ROZE | DJ TAO Turreo Sessions #22,"DJ Tao, Roze Oficial",82,155291,2023-11-23,Argentina
1,FARDOS,"JC Reyes, De La Ghetto",79,183335,2024-02-16,España
6,Tal Para Cual,"Salastkbron, Omar Varela",79,151224,2024-01-11,Argentina
1,HOLA PERDIDA,"Luck Ra, KHEA",78,166536,2024-02-02,Argentina
7,QUE ME FALTE TODO,"Luck Ra, Abel Pintos",75,165918,2024-02-02,Argentina
2,X'CLUSIVO - REMIX,"Gonzy, SAIKO, Arcángel",66,208133,2024-02-29,España
