Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate
1,A Tu Manera,"Junior H, Peso Pluma",85,261068,2024-02-16
2,La Intención,"Christian Nodal, Peso Pluma",89,249464,2024-01-27
3,Regalo De Dios,Julión Álvarez y su Norteño Banda,88,185933,2023-11-17
4,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07
5,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",95,260370,2024-01-12
6,Cactus,Belinda,83,183381,2024-01-31
7,UNA CERVEZA,"Fuerza Regida, Manuel Turizo",87,279275,2023-10-20
8,,Xavi,98,172264,2023-11-30
9,Apaga El Cel,"Calle 24, Chino Pacas",88,170832,2023-12-22
10,Anda Bien el Nene,"Oscar Maydon, Grupo Marca Registrada",82,177023,2024-02-07
11,ANDO,"Jere Klein, Gittobeatz",84,172774,2023-12-01
12,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02
13,Proyecto X,"Gabito Ballesteros, Natanael Cano",84,158036,2024-02-02
14,Alucin,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",91,197114,2023-11-17
15,CONTIGO (with Tiësto),"KAROL G, Tiësto",90,192786,2024-02-15
16,Ya No Estoy Dolido,"Adrian L Santos, Joaquin Medina",84,179600,2024-01-08
17,CRAZYZ,Fuerza Regida,88,204815,2023-10-20
18,O Me Voy O Te Vas,Natanael Cano,88,242133,2023-10-11
19,La Suma,"Javier Rosas Y Su Artillería Pesada, Lupe Borbon y su Blindaje 7",84,198976,2023-11-15
20,Enculado,Fuerza Regida,82,147877,2024-02-09
21,BLING BLING,"Maluma, Octavio Cuadras, Grupo Marca Registrada",80,163057,2024-02-08
22,Alch Si,"Carin Leon, Grupo Frontera",86,153953,2023-11-30
23,Elvira,"Oscar Maydon, Gabito Ballesteros, Chino Pacas",86,196832,2023-12-22
24,BELLAKEO,"Peso Pluma, Anitta",94,197333,2023-12-07
25,Mamichula - con Nicki Nicole,"Trueno, Nicki Nicole, Bizarrap, Taiu, TATOOL",88,219201,2020-07-23
26,Quédate Bebé,Grupo Frontera,80,193258,2024-02-15
27,A Puro Dolor,Gabito Ballesteros,86,168086,2023-11-30
28,ROCKSTAR,Junior H,88,168677,2023-10-05
29,NO SON KLLE,"Santa Fe Klan, Duki, Peso Pluma",80,223586,2024-02-22
30,Rompe La Dompe,"Peso Pluma, Junior H, Oscar Maydon",89,165634,2023-12-28
31,La Víctima,Xavi,95,156345,2023-08-17
32,ALVRGZO,"Alex Favela, Código FN, Oscar Ortiz",82,162187,2023-12-01
33,LA FALDA,Myke Towers,94,174229,2023-09-18
34,Linea Del Perreo,"Uzielito Mix, Yeri Mua, El Jordan 23, Dj Kiire",84,181137,2023-12-12
35,Tipo Gatsby,"Oscar Maydon, Natanael Cano, Gabito Ballesteros",84,202000,2023-12-22
36,Tacata (Remix),"Tiagz, Fuerza Regida, El Alfa",85,156716,2023-12-22
37,"Young Miko: Bzrp Music Sessions, Vol. 58","Bizarrap, Young Miko",93,187172,2024-01-10
