Posicion,Nombre de la cancion,Artista,Popularidad,Duration_ms,ReleaseDate,Pais
1,La Diabla,Xavi,98,172264,2023-11-30,Mexico
2,La Víctima,Xavi,95,156345,2023-08-17,Mexico
3,FIRST LOVE,"Oscar Ortiz, Edgardo Nuñez",92,169440,2023-12-07,Mexico
4,Regalo De Dios,Julión Álvarez y su Norteño Banda,88,185933,2023-11-17,Mexico
5,HARLEY QUINN,"Fuerza Regida, Marshmello",93,143327,2023-10-20,Mexico
6,Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",95,260370,2024-01-12,Mexico
7,Que Onda,"Calle 24, Chino Pacas, Fuerza Regida",93,191466,2023-08-30,Mexico
8,Apaga El Cel,"Calle 24, Chino Pacas",88,170832,2023-12-22,Mexico
9,ROCKSTAR,Junior H,88,168677,2023-10-05,Mexico
10,Gata Only,"FloyyMenor, Cris Mj",91,222000,2024-02-02,Mexico
11,Y LLORO,Junior H,90,179013,2023-10-05,Mexico
12,Poco A Poco,"Xavi, Los Dareyes De La Sierra",91,156040,2023-09-21,Mexico
13,O Me Voy O Te Vas,Natanael Cano,88,242133,2023-10-11,Mexico
14,Alucin,"Eugenio Esquivel, Grupo Marca Registrada, Sebastian Esquivel",91,197114,2023-11-17,Mexico
15,Elvira,"Oscar Maydon, Gabito Ballesteros, Chino Pacas",86,196832,2023-12-22,Mexico
16,Según Quién,"Maluma, Carin Leon",89,142334,2023-08-25,Mexico
17,QLONA,"KAROL G, Peso Pluma",93,172797,2023-08-10,Mexico
18,LUNA,"Feid, ATL Jacob",97,196800,2023-12-01,Mexico
19,Lo Tienes Todo,Julión Álvarez y su Norteño Banda,86,164386,2023-11-17,Mexico
20,BELLAKEO,"Peso Pluma, Anitta",94,197333,2023-12-07,Mexico
21,EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme",89,165848,2023-08-25,Mexico
22,Mi Bello Angel,Natanael Cano,88,188666,2023-06-30,Mexico
23,La Intención,"Christian Nodal, Peso Pluma",89,249464,2024-01-27,Mexico
24,LADY GAGA,"Peso Pluma, Gabito Ballesteros, Junior H",90,212878,2023-06-29,Mexico
25,Rompe La Dompe,"Peso Pluma, Junior H, Oscar Maydon",89,165634,2023-12-28,Mexico
26,A Tu Manera,"Junior H, Peso Pluma",85,261068,2024-02-16,Mexico
27,Ya No Estoy Dolido,"Adrian L Santos, Joaquin Medina",84,179600,2024-01-08,Mexico
28,Primera Cita,Carin Leon,86,186455,2023-05-19,Mexico
29,CRAZYZ,Fuerza Regida,88,204815,2023-10-20,Mexico
30,Vete,Alfredo Olivas,84,185240,2022-09-30,Mexico
31,Modo DND,"Xavi, Tony Aguirre",89,220298,2023-10-26,Mexico
32,PERRO NEGRO,"Bad Bunny, Feid",95,162767,2023-10-13,Mexico
33,TÚ NAME,Fuerza Regida,82,152078,2024-02-09,Mexico
34,CONTIGO (with Tiësto),"KAROL G, Tiësto",90,192786,2024-02-15,Mexico
35,UNA CERVEZA,"Fuerza Regida, Manuel Turizo",87,279275,2023-10-20,Mexico
36,LOU LOU,"Gabito Ballesteros, Natanael Cano",87,188000,2023-10-19,Mexico
37,A Puro Dolor,Gabito Ballesteros,86,168086,2023-11-30,Mexico
38,ELOVRGA,"Alex Favela, Grupo Marca Registrada, Joaquin Medina",88,194769,2023-08-18,Mexico
39,ANDO,"Jere Klein, Gittobeatz",84,172774,2023-12-01,Mexico
40,Alch Si,"Carin Leon, Grupo Frontera",86,153953,2023-11-30,Mexico
41,SABOR FRESA,Fuerza Regida,82,156500,2023-10-20,Mexico
42,Proyecto X,"Gabito Ballesteros, Natanael Cano",84,158036,2024-02-02,Mexico
43,LA PEOPLE,"Peso Pluma, Tito Double P",87,153031,2023-06-29,Mexico
44,Enculado,Fuerza Regida,82,147877,2024-02-09,Mexico
45,LA FALDA,Myke Towers,94,174229,2023-09-18,Mexico
46,Pongámonos De Acuerdo,Julión Álvarez y su Norteño Banda,82,161906,2015-03-23,Mexico
47,La Suma,"Javier Rosas Y Su Artillería Pesada, Lupe Borbon y su Blindaje 7",84,198976,2023-11-15,Mexico
48,El Azul,"Junior H, Peso Pluma",86,187225,2023-02-10,Mexico
49,AMARGURA,KAROL G,90,170480,2023-02-24,Mexico
50,NO SON KLLE,"Santa Fe Klan, Duki, Peso Pluma",80,223586,2024-02-22,Mexico
1,Beautiful Things,Benson Boone,100,180304,2024-01-18,Global
